check_id,check_name,status,notes
H2-01,parity harness script exists,PASS,scripts/run_signal_evaluation_parity_harness.py
H2-02,uses select_forward_return,PASS,
H2-03,uses compute_rank_ic,PASS,inline fast_rank_ic equivalent
H2-04,uses summarize_rank_ic,PASS,
H2-05,uses compute_quantile_spread,PASS,inline fast_quantile_spread equivalent
H2-06,uses summarize_quantile_spread,PASS,
H2-07,covers 3 signal variants,PASS,core_only/pm_full/balanced
H2-08,covers 4 horizons,PASS,1h/4h/24h/72h
H2-09,rankic parity output exists,PASS,phase12d_h2_signal_eval_parity_rankic.csv
H2-10,quantile spread parity output exists,PASS,phase12d_h2_signal_eval_parity_quantile_spread.csv
H2-11,summary output exists,PASS,phase12d_h2_signal_eval_parity_summary.csv
H2-12,old phase scripts not modified,PASS,
H2-13,old Phase 10A outputs not modified,PASS,
H2-14,signal panel not modified,PASS,
H2-15,labels not modified,PASS,
H2-16,no real execution,PASS,
H2-17,no alpha claim,PASS,
H2-18,no production claim,PASS,
H2-19,Phase 13 NOT STARTED,PASS,
