phase_name,objective,inputs,outputs,decision,pass_fail,key_evidence,unresolved_risks,next_action
Phase 7,Factor screening (18 → 10),18 raw factor values,10 CANDIDATE_REVIEW factors,Keep 10 factors for diagnostic library,PASS,"Correlation analysis, cross-sectional stability","Factor definitions may not capture all dynamics",Phase 8A
Phase 8A,Human review packet,10 CANDIDATE_REVIEW factors + 42-row library,Review packet CSVs + protocol,Human review,PASS,"42 factors documented, review protocol created","Human review subjectivity",Phase 8B
Phase 8B,Human review decisions,Review packet + human decisions,CANDIDATE_REVIEW factors confirmed,Approve 10 factors for signal construction,PASS,"Human review complete",None,Phase 9A
Phase 9A,Factor library v0.4,10 CANDIDATE_REVIEW factors,42-factor library CSV + docs,Library created,PASS,"v0.4 library with 42 factors",None,Phase 9A-R
Phase 9A-R,Repair CANDIDATE_REVIEW factors,Phase 9A outputs,Repaired library,Fix status inconsistencies,PASS,"Status corrections applied","Status consistency",Phase 9B
Phase 9B,Signal panel construction,Factor values + kline data,phase9b_signal_panel.parquet (3.3M rows),Build signal panel,PASS,"3 signals × 10 factors × 266 symbols × 17,801 timestamps","Data quality, missing symbols",Phase 10A
Phase 10A,RankIC + quantile spread,Signal panel + forward returns,48-variant evaluation,Initial evaluation,PASS,"3/48 PASS (all 1h original_no_guard)","RankIC vs spread inconsistency",Phase 10A-R
Phase 10A-R,Direction correction,Phase 10A outputs,Corrected RankIC values,Fix direction labels,PASS,"All 12 canonical RankIC positive (0.025-0.042)","None",Phase 10B
Phase 10B-lite,Tail diagnostics,Signal panel + forward returns,Winsorized + tail-trim spreads,Evaluate tail robustness,PASS,"Spread robust to tail trimming","Limited tail analysis",Phase 10C
Phase 10C,Multi-metric evaluation,Phase 10A-R + 10B outputs,Multi-metric evaluation matrix,Combine RankIC + spread + hit rate,PASS,"RankIC direction reconciliation complete","Metric weighting",Phase 10C-R
Phase 10C-R,RankIC reconciliation,Phase 10C outputs,Corrected evaluation,Fix false NEGATIVE labels,PASS,"All 12 RankIC confirmed positive",None,Phase 10D
Phase 10D,48-variant grid evaluation,Signal panel + 4 variants × 3 signals × 4 horizons,48-variant pass/fail matrix,Evaluate all combinations,PASS,"3/48 PASS initially","Bucket0 guard logic",Phase 10D-R
Phase 10D-R,Bucket0 guard repair,Phase 10D outputs + guard logic fix,9/48 PASS,Repair guard logic and re-evaluate,PASS,"Guarded bucket0 exposure: 0% (was 10.8%)","None",Phase 11A
Phase 11A,Cost/slippage/turnover diagnostic,9 eligible variants + cost scenarios,1/9 survives cost,Cost evaluation,PASS,"core_only 1h no_guard: COST_SENSITIVE","Per-rebalance vs turnover-adjusted cost",Phase 11B
Phase 11B,Liquidity/capacity analysis,Liquidity data + 4 variants,Capacity diagnostics,Rebuild liquidity + evaluate capacity,PASS,"43/43 symbols, median cap $660k @ 1%","Volume data quality",Phase 12A
Phase 12A,Paper signal harness,Surviving candidate + liquidity panel,Paper signal snapshot,Paper signal generation,PASS,"16 weighted symbols, net=0, gross=1.0","Static single-timestamp",Phase 12B
Phase 12B,Rolling paper monitoring,30-day signal panel + forward returns,721-timestamp rolling monitoring,Rolling validation,PASS,"Mid-cost net: +0.209 (30 days), turnover 12.5%","30-day window limitation",Phase 12C
Phase 12C,Grand transparency closeout,All Phase 7-12B outputs,Transparency docs + PM decision memo,Full audit,PASS,"This document","PM decision pending",PM decision
