check_name,status,detail
canonical_rankic_all_positive,PASS,Phase 10A canonical RankIC is positive for all 12 signal×horizon combinations (range 0.025-0.042)
original_rankic_direction_matches_10a,PASS,All 12 rows in repaired policy have original_rankic_direction=POSITIVE matching Phase 10A canonical
inverted_diagnostics_separated,PASS,10A-R inverted metrics labeled as inverted_rankic_direction and inverted_spread_direction
no_conflation_of_10ar_with_10a,PASS,Phase 10A-R diagnostic values not used to label canonical RankIC direction
metric_lineage_complete,PASS,phase10c_r_metric_lineage.csv maps all metrics with source files and phases
repaired_policy_12_rows,PASS,phase10c_r_horizon_direction_policy_repaired.csv has 12 rows
repaired_protocol_48_variants,PASS,phase10c_r_phase10d_protocol_repaired.csv has 48 variant evaluations
no_signal_v1_implemented,PASS,No signal v1 parquet created
no_backtest_run,PASS,No backtest executed
no_phase11_started,PASS,Phase 11 NOT STARTED
no_alpha_claim,PASS,No alpha claim
design_only,PASS,Repaired artifacts are design/policy only
