prior_id,source_family,original_name,short_description,required_data,crypto_transferability_bucket,implementation_phase,priority,status,notes
wq101_01,WQ101,Alpha#1,Ts_ArgMax of signed power of returns or close,returns;close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Uses returns only; cross-sectional rank needs zscore adaptation
wq101_06,WQ101,Alpha#6,Correlation of open and volume over 10 bars,open;volume,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Direct transfer; replace cross-sectional rank with rolling zscore
wq101_12,WQ101,Alpha#12,Sign of volume change times negative close change,volume;close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Direct transfer; pure OHLCV
wq101_26,WQ101,Alpha#26,Negative max correlation of volume rank and high rank,volume;high,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Needs rank→zscore adaptation
wq101_34,WQ101,Alpha#34,Conditional sign of return momentum,returns,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Uses returns only
wq101_41,WQ101,Alpha#41,Geometric mean of high/low minus VWAP,high;low;vwap,requires_vwap,2E,MEDIUM,PRIOR_ONLY,VWAP derivable from quote_volume/volume
wq101_44,WQ101,Alpha#44,Negative correlation of high and volume rank,high;volume,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Needs rank→zscore adaptation
wq101_53,WQ101,Alpha#53,Delta of intraday price position,close;high;low,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Direct transfer; pure OHLCV
wq101_54,WQ101,Alpha#54,Negative correlation of close/open ratio and volume,open;close;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Direct transfer
wq101_101,WQ101,Alpha#101,(close - open) / (high - low),open;high;low;close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Direct transfer; intraday range position
wq101_02,WQ101,Alpha#2,Negative correlation of open delay and returns,open;returns,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Uses delay which is shift(+k); safe
wq101_08,WQ101,Alpha#8,Open delay times volume open delay rank,open;volume,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Needs rank→zscore adaptation
