check_id,check_name,status,notes
1,check_factor_registry_integrity.py created,PASS,scripts/check_factor_registry_integrity.py
2,build_factor_catalog.py created,PASS,scripts/build_factor_catalog.py
3,factor_id uniqueness checked,PASS,53 factors checked; 0 duplicates
4,required_columns checked,PASS,all non-empty lists of strings
5,expected_direction checked,PASS,all in {positive/negative/conditional}
6,compute_fn checked,PASS,all callable
7,lookback_window checked,PASS,all positive integers
8,raw bars schema checked,PASS,known schema {open/high/low/close/volume/quote_volume/taker_buy_quote_volume/funding_rate}
9,missing input data detected,PASS,6 factors missing taker/funding columns; classified as MISSING_INPUT_DATA
10,factor_values existence checked,PASS,47/53 have factor_values; 6 BUILDABLE (missing input)
11,factor IC existence checked,PASS,37/47 computed; 10 with unknown direction
12,signal-used factors all validated,PASS,10/10 signal factors have FV + IC
13,taker/funding missing factors explicitly classified,PASS,6 factors: 3 taker_imbalance + 3 funding_rate; MISSING_INPUT_DATA
14,factor_registry_integrity_report.csv created,PASS,factor_registry_integrity_report.csv
15,factor_registry_integrity_report.json created,PASS,factor_registry_integrity_report.json
16,factor_catalog.csv created,PASS,factor_catalog.csv
17,factor_catalog.json created,PASS,factor_catalog.json
18,lifecycle_status populated,PASS,ACTIVE_IN_SIGNAL:10 / CANDIDATE:27 / DIAGNOSTIC_ONLY:10 / BUILDABLE:6
19,Control Center lightly updated,PASS,added catalog + integrity report paths
20,manifest lightly updated,PASS,added catalog + integrity report paths
21,public nav unchanged,PASS,still 4 items: index / repo-map / factor-eval / signal-eval
22,no new factor added,PASS,53 factors unchanged
23,no signal modified,PASS,signal panel untouched
24,no factor values modified,PASS,only read existing outputs
25,no labels modified,PASS,labels.parquet untouched
26,no research output modified except new reports,PASS,only new files in factor_level_evaluation/
27,no Phase 13,PASS,Phase 13 NOT STARTED
28,no production claim,PASS,no production/logic added
29,no alpha claim,PASS,only engineering tooling
