check_id,check_name,expected,actual,result,notes
H9-R-01,evaluate_factors_dynamic_universe status unified,DEPRECATED_STALE / HISTORICAL_REFERENCE,"Control Center: DEPRECATED_STALE / HISTORICAL_REFERENCE; Manifest: DEPRECATED_STALE / HISTORICAL_REFERENCE; Register: DEPRECATED_STALE / HISTORICAL_REFERENCE; Orphan: DEPRECATED_STALE / HISTORICAL_REFERENCE; Cleanup: DEPRECATED_STALE / HISTORICAL_REFERENCE",PASS,All 5 docs now use identical status label
H9-R-02,evaluate_factors_dynamic_universe not used as active evaluator,Not in active_mainline_scripts,Not in active_mainline_scripts (manifest),PASS,Confirmed
H9-R-03,evaluate_factors_dynamic_universe not moved,Still in scripts/,Still in scripts/evaluate_factors_dynamic_universe.py,PASS,Not moved
H9-R-04,evaluate_factors.py remains canonical factor evaluator,scripts/evaluate_factors.py,"Listed in active_mainline_scripts, FILE_STATUS_REGISTER ACTIVE_MAINLINE",PASS,Confirmed
H9-R-05,check_factor_ic_parity.py remains parity guard,scripts/check_factor_ic_parity.py,"Listed in active_supporting_scripts, FILE_STATUS_REGISTER ACTIVE_SUPPORTING",PASS,Confirmed
H9-R-06,strategies module marked out-of-scope,OUT_OF_SCOPE not in active_modules,"Control Center: OUT_OF_SCOPE label; Manifest: removed from active_modules, in out_of_scope_modules; Register: OUT_OF_SCOPE row added",PASS,3 docs updated
H9-R-07,dataset_id verified,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,"evaluate_factors.py FEATURES_DIR = crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1",PASS,Matches real code
H9-R-08,universe_id verified,crypto_usdt_perp_monthly_volume_top50_current_listed_v1,"data/universe/crypto_usdt_perp_monthly_volume_top50_current_listed_v1/ exists with universe_snapshots.parquet",PASS,Matches real path
H9-R-09,labels path verified,data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/labels.parquet,"File exists on disk; Control Center, manifest, register all use correct path",PASS,Fixed from H9 wrong path
H9-R-10,factor_values base path verified,data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/<factor>/factor_values.parquet,"47 factor subdirs exist; evaluate_factors.py reads from this path; Control Center, manifest, register all corrected",PASS,Fixed from H9 wrong path (was crypto_top50_usdt_perp_1h)
H9-R-11,signal panel path verified,research/factor_runs/crypto_top50_factor_library/phase9b_signal_panel.parquet,File exists on disk; consistent across all docs,PASS,Confirmed
H9-R-12,Control Center paths match manifest,Consistent,"FV path, labels path, strategies status all match between Control Center and manifest",PASS,Verified after fixes
H9-R-13,FILE_STATUS_REGISTER scope clarified,Scope note present,"Scope note not in CSV header (CSV format), but added to CLEANUP_RECOMMENDATIONS.md and Control Center; register header says 'factor-library key asset register'",PASS,Clarified in companion docs
H9-R-14,public nav remains 4 pages only,4 pages,"index.html, actual-script-map.html, factor-evaluation.html, signal-evaluation-summary.html",PASS,No new pages added
H9-R-15,no archive pages restored to nav,0 archive pages in nav,No _archive pages in public nav,PASS,Confirmed
H9-R-16,no Python code modified,0 Python files changed,"Only .md, .json, .csv, .html governance/doc files modified",PASS,Confirmed
H9-R-17,no data modified,0 parquet/csv data files changed,No data files touched,PASS,Confirmed
H9-R-18,no research outputs modified,0 evaluation outputs changed,factor_level_evaluation/ and signal_evaluation_*.csv untouched,PASS,Confirmed
H9-R-19,no file moved,0 files moved,No file moves,PASS,Confirmed
H9-R-20,no file deleted,0 files deleted,No file deletions,PASS,Confirmed
H9-R-21,no new factors,0 new factors,Factor count unchanged (53 registered / 47 with FV),PASS,Confirmed
H9-R-22,no new signals,0 new signals,Signal panel unchanged,PASS,Confirmed
H9-R-23,Phase 13 NOT STARTED,NOT_STARTED,Control Center and manifest both say NOT_STARTED,PASS,Confirmed
H9-R-24,no production claim,False,No production claims in any modified file,PASS,Confirmed
H9-R-25,no alpha claim,False,No alpha claims in any modified file,PASS,Confirmed
H9-R-26,actual-script-map paths corrected,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,7 references updated from crypto_top50_usdt_perp_1h,PASS,FV/labels/cache paths corrected
